OKTMO;Title;RegionID
24602000000;Верхнеландеховский муниципальный район;20
24603000000;Гаврилово-Посадский муниципальный район;20
24605000000;Заволжский муниципальный район;20
24607000000;Ивановский муниципальный район;20
24609000000;Ильинский муниципальный район;20
24611000000;Кинешемский муниципальный район;20
24613000000;Комсомольский муниципальный район;20
24614000000;Лежневский муниципальный район;20
24615000000;Лухский муниципальный район;20
24617000000;Палехский муниципальный район;20
24619000000;Пестяковский муниципальный район;20
24620000000;Приволжский муниципальный район;20
24621000000;Пучежский муниципальный район;20
24623000000;Родниковский муниципальный район;20
24625000000;Савинский муниципальный район;20
24629000000;Тейковский муниципальный район;20
24631000000;Фурмановский муниципальный район;20
24633000000;Шуйский муниципальный район;20
24635000000;Южский муниципальный район;20
24637000000;Юрьевецкий муниципальный район;20
24701000000;Иваново;20
24703000000;Вичуга;20
24705000000;Кинешма;20
24706000000;Кохма;20
24707000000;Тейково;20
24711000000;Шуя;20
25601000000;Балаганский муниципальный район;21
25602000000;Бодайбинский муниципальный район;21
25604000000;Братский муниципальный район;21
25605000000;Аларский муниципальный район;21
25606000000;Жигаловский муниципальный район;21
25607000000;Баяндаевский муниципальный район;21
25608000000;Заларинский муниципальный район;21
25609000000;Боханский муниципальный район;21
